,Elevation,Aspect,Slope,Horizontal_Distance_To_Hydrology,Vertical_Distance_To_Hydrology,Horizontal_Distance_To_Roadways,Hillshade_9am,Hillshade_Noon,Hillshade_3pm,Horizontal_Distance_To_Fire_Points,Soil_Type,Wilderness_Area,Cover_Type
179,2989,180,6,180,10,1710,222,244,156,1390,23,1,2
180,3456,192,17,842,63,3386,217,251,163,366,38,3,1
181,3313,32,9,90,5,1953,218,221,138,1008,39,3,7
182,2146,100,14,0,0,1422,243,219,102,774,3,4,4
183,3009,74,3,573,121,2547,224,233,144,1742,32,3,2
184,2485,113,10,67,8,492,238,229,120,1328,6,4,6
185,2902,7,8,170,11,1892,211,225,151,1480,32,3,5
186,1959,10,34,270,108,240,164,153,110,842,5,4,6
187,3279,346,15,1140,262,2015,189,214,163,2078,39,3,7
188,2142,32,6,0,0,797,219,226,144,1577,1,4,4
189,2252,328,9,0,0,379,198,230,171,726,16,4,4
190,2252,136,32,285,174,666,249,207,58,201,3,4,4
191,3100,310,16,513,57,1549,176,228,191,3159,29,1,1
192,2667,112,7,42,-2,1950,232,233,133,1697,32,3,3
193,3199,191,15,295,-20,3331,218,251,162,730,33,3,2
194,2797,165,3,30,0,2012,222,240,154,2282,17,3,5
195,3089,352,21,218,43,4852,178,198,155,658,29,1,2
196,2247,95,29,150,50,679,251,185,42,1612,3,4,4
197,2203,27,24,474,184,626,201,179,104,306,5,4,3
198,3272,341,21,297,51,2112,170,203,169,3124,39,1,1
199,3331,81,14,330,41,3355,238,214,104,1758,29,1,7
200,3327,155,34,324,143,1836,237,220,84,417,39,3,7
201,3121,55,10,85,-1,4897,226,219,126,2617,29,1,2
202,3361,122,17,242,5,2508,247,224,99,2514,39,1,7
203,2456,24,30,175,73,721,190,163,94,808,10,3,6
204,2941,101,23,335,114,1173,251,203,68,424,30,1,5
205,3367,155,22,201,48,914,239,236,114,1112,24,2,7
206,2754,101,11,85,19,1588,239,225,115,2148,12,1,2
207,2455,351,16,180,5,990,191,212,158,182,6,4,6
208,3074,108,6,60,-1,1811,231,233,136,1996,23,1,1
209,2897,109,16,270,87,277,245,221,99,725,29,1,2
210,3227,344,17,30,9,4066,183,211,164,1302,38,1,7
211,2825,216,8,731,53,2165,212,248,172,1740,17,3,5
212,2897,48,15,127,49,532,224,206,113,212,31,3,2
213,2295,127,27,212,98,726,252,212,69,1575,3,4,4
214,3241,202,12,277,50,3571,214,251,169,3204,30,1,1
215,3341,101,15,120,22,2216,244,218,99,959,39,3,7
216,3400,45,11,242,51,2919,223,217,127,1452,38,3,7
217,3179,2,7,30,4,1744,210,226,154,437,23,1,1
218,2128,4,7,30,4,1044,211,227,153,1382,17,4,4
219,2616,7,16,120,33,1571,199,206,142,2888,10,3,6
220,2707,336,22,180,37,1687,165,203,175,1521,13,3,6
221,2073,312,24,0,0,541,150,215,202,201,4,4,4
222,2396,149,12,430,199,741,236,239,131,1600,6,4,4
223,2653,89,20,417,109,1095,245,204,79,1465,30,1,2
224,2735,130,12,120,29,2505,240,233,121,2175,30,1,2
225,2480,63,7,30,-4,1570,226,226,134,800,4,3,3
226,2331,185,15,324,218,957,221,249,157,430,6,4,4
227,2810,25,14,85,10,1684,213,210,131,1678,17,3,5
228,2636,258,20,120,50,1315,170,247,214,1465,11,3,3
229,2558,34,17,180,48,1405,215,200,115,1471,10,3,6
230,2269,284,34,228,138,792,107,217,238,1087,10,4,6
231,2435,160,18,524,165,743,236,241,128,914,3,4,3
232,2717,108,16,201,79,1500,246,220,98,794,30,1,5
233,2995,80,4,0,0,2259,225,232,142,4117,23,1,1
234,2330,76,2,0,0,402,222,235,150,1356,14,4,4
235,2211,97,38,216,139,592,249,159,1,150,3,4,4
236,2496,32,23,150,-22,883,208,182,99,1252,10,3,6
237,3147,188,13,270,7,2195,220,249,160,721,23,1,1
238,2955,311,9,421,49,5660,196,234,177,2428,30,1,2
239,2330,260,5,382,147,1260,207,243,174,1114,6,4,4
240,2525,80,7,67,-8,706,229,228,133,916,16,1,1
241,2593,188,13,212,54,1342,220,249,160,1905,4,3,3
242,3244,339,18,150,49,1666,178,211,170,2819,29,1,1
243,3081,344,19,30,14,2105,179,207,165,3248,22,1,1
244,2193,38,24,0,0,1338,211,179,91,939,17,4,4
245,2917,130,4,150,35,1177,226,237,145,2359,31,3,2
246,2491,244,27,85,36,1319,155,249,223,1177,3,3,3
247,2446,225,6,0,0,1842,211,246,172,192,16,3,6
248,2162,51,23,85,40,492,224,184,82,769,1,4,3
249,2420,326,24,450,62,938,155,206,187,1084,10,4,6
250,2716,117,15,175,62,1500,245,225,105,789,30,1,5
251,3277,19,11,30,0,2132,212,216,140,2043,38,2,2
252,2477,352,13,0,0,787,196,217,158,1249,10,3,6
253,3559,107,13,218,57,2652,241,224,110,3931,40,1,7
254,2969,167,13,228,67,1622,231,244,143,2735,32,3,2
255,2370,188,29,30,3,573,209,246,152,1243,4,4,3
256,3175,52,30,570,179,671,219,162,57,1935,30,1,7
257,2842,23,13,420,39,2402,212,213,135,1643,33,3,2
258,2735,294,16,212,41,1477,175,235,200,2097,11,3,5
259,3271,273,12,573,148,3621,186,243,196,1997,33,3,2
260,2594,259,35,324,-5,540,118,235,241,1158,4,3,3
261,2702,3,19,67,8,1531,191,201,144,1310,10,3,5
262,2439,17,34,150,56,636,173,150,96,779,10,3,6
263,2725,353,23,42,9,1116,174,193,152,713,33,3,2
264,3072,329,17,60,13,1905,178,218,179,1914,29,1,1
265,2127,255,5,30,-4,977,209,243,172,1423,17,4,4
266,2920,94,28,360,-47,446,250,186,44,2028,30,1,5
267,2469,354,25,150,41,841,170,188,149,1128,4,3,3
268,3052,308,17,120,21,2844,173,228,194,2701,23,1,1
269,2830,72,15,210,45,277,236,210,102,1561,29,1,2
270,2886,166,15,270,103,1027,231,244,140,2965,11,3,5
271,2160,199,24,0,0,1087,203,252,171,853,17,4,4
272,3200,116,12,0,0,2883,241,228,115,2463,29,1,7
273,3410,326,7,362,37,2250,203,232,168,2655,38,3,7
274,2277,292,33,90,42,1290,113,214,232,684,10,4,3
275,2015,33,28,85,50,127,203,167,85,67,1,4,3
276,2340,151,12,108,17,108,235,240,134,604,4,3,3
277,2608,200,17,297,179,1879,211,253,171,481,4,3,3
278,2610,42,20,212,67,1663,219,191,99,1415,10,3,2
279,2309,100,5,0,0,924,229,233,138,977,10,4,4
280,2284,267,4,210,22,192,209,241,170,306,10,4,4
281,3547,343,9,391,53,1687,202,226,163,2161,40,2,7
282,2132,353,15,0,0,1282,193,213,157,1362,17,4,4
283,2695,259,6,256,17,2121,206,244,176,1717,4,3,3
284,3404,0,9,484,-5,792,206,222,154,752,40,2,7
285,2644,125,20,67,25,1719,249,221,90,5168,29,1,2
286,2252,352,22,150,59,1295,176,196,154,722,10,4,6
287,2825,63,18,90,34,2143,233,202,94,2171,33,3,5
288,3273,0,9,190,37,2135,206,222,154,2560,29,1,1
289,2740,332,27,175,70,2239,146,194,181,2432,29,1,2
290,2285,114,22,212,92,984,252,211,76,1326,3,4,4
291,3172,336,16,192,48,1240,183,217,172,469,24,3,1
292,2366,66,12,424,172,932,232,215,114,1451,6,4,4
293,2851,38,10,108,-6,595,220,217,131,1298,32,3,2
294,2122,288,35,120,45,192,102,211,237,711,10,4,3
295,2113,184,7,30,3,1269,222,245,157,1060,1,4,4
296,3181,309,6,67,6,5204,203,236,172,2496,22,1,1
297,2237,29,34,361,160,424,187,146,73,616,10,4,3
298,2404,37,14,0,0,457,219,209,123,1320,6,4,4
299,2824,120,11,0,0,1440,240,230,119,2334,13,3,1
300,2414,85,19,150,56,735,244,203,81,1421,6,4,6
301,3294,356,22,779,189,1282,180,196,150,1733,39,3,7
302,2214,131,31,228,123,741,252,206,57,180,3,4,4
303,3414,118,4,108,9,2940,226,236,145,837,35,3,7
304,3172,72,15,67,5,1025,236,209,100,759,31,3,1
305,3072,346,4,242,5,5218,212,233,159,2568,23,1,1
306,3346,338,12,540,35,792,194,223,168,1663,32,3,7
307,2154,63,7,0,0,1498,226,226,134,247,3,4,4
308,2072,45,14,30,3,1032,223,210,118,313,17,4,4
309,2978,157,27,240,41,3407,238,232,106,1199,13,3,2
310,2633,285,26,153,74,1168,139,229,226,721,33,3,6
311,3433,146,22,201,2,2610,244,230,103,1080,40,3,7
312,3377,3,19,551,188,4093,191,201,144,3649,40,3,7
313,2441,14,16,492,251,997,203,205,136,1006,6,4,3
314,3011,73,9,659,7,4341,231,223,124,3215,29,1,2
315,2949,134,15,42,10,1595,242,232,116,417,32,3,2
316,3371,298,10,313,49,3845,192,237,185,1910,38,3,7
317,3220,77,11,543,115,1054,234,219,115,2070,29,1,2
318,2534,31,20,85,14,1218,210,193,112,1557,10,3,3
319,2942,170,12,323,-45,4552,229,245,147,2051,29,1,2
320,3067,164,11,85,7,6811,230,243,144,2774,29,1,2
321,2281,24,34,192,67,564,181,147,82,451,10,4,6
322,2238,133,20,60,13,541,247,226,98,1764,3,4,4
323,2094,9,17,0,0,824,198,203,139,190,4,4,4
324,2915,81,8,0,0,4345,231,226,128,4260,23,1,2
325,2981,36,4,497,88,192,220,230,147,573,33,3,1
326,2957,255,3,90,12,4786,213,241,166,2227,29,1,5
327,2727,93,33,150,78,150,250,170,21,2565,30,1,5
328,2262,26,6,0,0,721,217,227,146,646,4,4,4
329,3231,76,2,67,2,3395,222,235,150,1958,38,1,7
330,2452,202,11,42,6,1869,215,250,168,150,2,3,3
331,3362,68,4,470,40,1054,224,231,142,2469,32,3,7
332,2791,134,13,384,-6,420,240,233,120,469,30,1,5
333,2722,58,4,283,23,150,223,230,143,834,11,3,5
334,2508,305,32,108,53,743,116,204,219,551,10,3,6
335,2560,309,27,390,-39,964,137,211,209,1020,4,3,3
336,2879,292,24,671,178,2040,146,228,218,1869,13,3,5
337,3221,161,11,60,-12,3413,231,243,142,1392,23,3,1
338,2794,60,10,30,11,1940,228,218,122,1855,23,3,1
339,2555,24,13,42,7,306,213,211,133,1265,17,3,6
340,2160,90,37,330,-11,618,246,156,0,626,6,4,3
341,2591,80,21,67,4,3030,242,198,76,1177,10,3,6
342,2336,300,16,162,62,1148,175,232,197,474,5,4,6
343,2088,66,33,313,131,351,231,156,31,301,5,4,3
344,2742,174,9,268,23,2455,226,245,152,1725,12,1,2
345,2253,191,7,0,0,424,220,246,161,499,10,4,4
346,2942,131,19,42,14,1271,247,227,101,3195,22,1,1
347,2858,54,17,85,29,900,228,202,102,277,30,1,5
348,2337,267,19,437,75,255,168,244,213,641,10,4,3
349,2710,191,26,443,-45,1209,210,249,158,939,3,3,2
350,2481,6,13,170,31,934,203,214,147,313,6,4,3
351,2399,316,27,270,149,845,138,206,202,1087,10,4,6
352,3432,343,9,962,93,1423,202,227,163,1677,38,3,7
353,2413,50,4,537,98,607,221,231,146,1092,6,4,3
354,3075,108,14,30,-13,2644,243,223,107,1931,31,3,1
355,2530,307,20,60,12,994,161,224,201,1626,33,3,6
356,2477,2,13,67,0,342,202,215,150,1198,11,4,6
357,2163,33,33,313,105,800,194,151,72,888,10,4,6
358,2240,186,2,0,0,658,219,240,157,541,10,4,4
359,2665,80,23,67,11,170,243,192,67,664,30,1,5
360,2673,171,7,120,26,1907,226,244,151,1866,4,3,6
361,2386,30,30,242,116,792,195,160,84,755,10,4,6
362,2144,30,23,42,13,1357,206,183,103,1332,17,4,4
363,2137,27,8,0,0,1406,217,223,142,331,14,4,4
364,3353,76,6,534,31,878,228,229,136,2490,31,3,7
365,3333,322,35,426,137,537,113,182,197,677,33,2,1
366,3410,98,16,306,172,3866,244,216,96,3448,39,3,7
367,3384,92,15,553,227,1451,242,216,99,937,39,3,7
368,3476,75,36,180,79,2532,237,149,11,3762,39,1,7
369,2780,315,6,0,0,2207,205,235,170,816,31,3,5
370,3297,43,12,481,130,2751,222,213,123,3317,32,3,7
371,2572,54,16,404,8,1061,228,203,104,1170,10,3,2
372,2678,10,12,0,0,1401,207,216,145,1355,20,3,6
373,2316,33,14,0,0,532,216,208,124,454,17,4,4
374,2172,261,18,30,10,1195,172,247,211,808,10,4,4
375,2000,318,7,30,4,108,201,234,172,268,17,4,4
376,2317,50,21,120,43,120,224,190,90,964,3,3,3
377,2402,96,11,162,46,706,238,224,115,1273,2,4,6
378,2211,94,11,30,4,659,238,223,115,1663,4,4,4
379,2893,240,10,124,7,1867,201,249,186,1560,23,3,5
380,2852,184,26,134,58,1200,215,247,148,2862,4,3,5
381,2385,293,20,150,66,1061,159,231,210,1529,10,4,6
382,2579,42,14,170,72,1356,222,209,119,1674,10,3,6
383,2380,90,27,60,25,541,249,187,49,949,4,3,6
384,2624,109,14,127,14,911,244,223,105,655,9,1,2
385,2601,35,15,212,0,1578,217,206,121,1055,10,3,6
386,2688,56,11,30,-4,2349,227,218,123,592,31,3,5
387,3395,176,10,90,-1,4260,226,246,152,4065,23,3,7
388,2083,225,25,255,25,569,178,254,203,1012,1,4,6
389,3101,313,9,150,-1,2388,196,233,177,2984,22,1,1
390,2867,126,28,793,88,2296,253,208,63,1624,13,3,5
391,3039,49,5,30,0,3700,222,229,142,379,23,1,1
392,2265,338,13,0,0,1243,190,220,169,631,14,4,6
393,2795,42,6,0,0,1597,221,226,140,1749,17,3,5
394,2107,86,9,0,0,1115,234,225,122,1415,17,4,4
395,3085,208,16,201,15,1723,207,253,177,631,22,1,1
396,2361,330,9,0,0,792,199,229,170,1552,5,4,4
397,2495,7,14,301,52,150,201,211,145,1814,6,4,3
398,3392,74,8,573,43,1740,230,226,129,2368,38,3,7
399,3332,34,22,270,95,2210,211,185,101,1167,39,3,7
400,2154,126,33,67,41,1033,253,199,46,384,3,4,4
401,2819,319,25,120,48,600,148,208,196,1033,23,3,1
402,2176,121,29,108,63,1020,254,202,54,382,3,4,4
403,2719,61,6,297,30,255,225,228,137,942,11,3,5
404,2769,6,12,162,62,1570,205,216,148,997,31,3,2
405,2854,142,19,153,48,2212,244,232,109,1082,13,3,5
406,2680,23,12,0,0,1511,213,214,136,730,29,1,5
407,3237,27,14,997,36,4002,213,210,130,2506,23,1,1
408,2107,155,41,120,88,470,229,205,63,285,1,4,3
409,3358,105,23,150,-33,3711,252,205,68,2635,40,1,7
410,3318,96,12,95,-5,1224,239,222,111,1411,38,2,7
411,3214,132,15,0,0,2402,243,231,114,2911,29,1,7
412,3244,177,15,180,26,2847,226,247,150,2462,29,1,7
413,2707,82,11,379,-17,725,235,220,115,242,4,3,6
414,2884,311,17,636,0,1214,172,226,193,1269,32,3,2
415,3343,0,13,170,43,2335,200,215,152,514,39,3,7
416,2534,329,10,67,-2,1449,197,229,171,1445,10,3,6
417,3052,192,9,90,23,1556,220,248,162,42,32,3,2
418,3226,221,21,277,79,1337,190,254,194,4400,22,2,1
419,3234,335,11,67,9,1945,195,225,169,258,35,3,7
420,2945,63,17,309,0,765,233,204,98,1999,24,3,1
421,2511,24,8,108,13,404,216,222,143,1477,6,4,6
422,3537,137,13,306,103,2730,239,235,123,2106,40,1,1
423,3363,340,14,800,92,1159,190,219,167,1854,38,3,7
424,3357,128,11,691,182,1471,238,233,125,1008,20,2,1
425,2302,6,13,30,0,1146,204,215,147,242,16,4,6
426,2952,191,2,384,-42,3861,219,241,158,5757,20,1,2
427,2439,34,9,0,0,371,219,221,138,1289,6,4,4
428,2906,76,14,268,42,3037,236,214,106,2523,12,1,2
429,2372,213,21,319,82,849,196,254,187,424,6,4,4
430,2315,92,19,0,0,484,246,207,82,592,17,4,4
431,3073,123,11,0,0,3060,239,231,121,5654,29,1,1
432,2211,126,32,42,28,1315,253,200,48,976,3,4,4
433,2410,19,22,30,10,1006,197,186,119,1200,10,3,6
434,3201,331,5,0,0,4002,208,234,164,3460,20,1,1
435,3269,346,15,228,43,1812,191,216,163,458,39,3,7
436,3167,342,10,190,-18,1359,198,224,165,812,24,2,1
437,2463,117,2,0,0,42,223,237,150,1259,10,3,6
438,2413,308,20,30,7,1253,161,224,201,300,10,4,6
439,2346,12,21,319,134,1106,194,194,131,42,10,4,3
440,2753,75,5,30,-1,2030,226,231,140,976,23,1,2
441,2421,38,17,300,95,960,218,202,114,1168,6,4,6
442,3126,34,16,85,11,4354,216,203,118,3524,22,1,1
443,2836,355,13,0,0,1533,198,217,156,1172,23,3,5
444,2786,298,29,379,222,1288,128,216,222,960,33,3,6
445,2954,47,8,335,73,2029,223,222,133,2497,32,3,2
446,2970,160,13,150,20,1140,233,242,138,633,13,3,1
447,2921,41,18,256,69,626,219,197,106,1611,32,3,1
448,2006,73,11,0,0,170,233,218,115,319,17,4,4
449,2216,58,20,295,165,362,230,195,89,351,2,4,6
450,2745,329,11,342,68,1608,194,227,173,2030,11,3,3
451,3582,95,22,330,80,2630,249,202,70,3851,40,1,7
